,YearsExperience,Salary,NumProjectCompleted
0,8.1,77884.67,5
1,19.1,127213.68,14
2,14.9,103343.52,10
3,12.4,88988.96,8
4,4.0,35214.78,2
5,4.0,42801.56,2
6,2.1,35893.61,0
7,17.5,128071.22,13
8,12.4,95436.18,8
9,14.5,84869.6,10
10,1.4,40240.84,0
11,19.4,123149.18,14
12,16.8,107230.78,12
13,5.0,61116.76,3
14,4.5,62810.0,2
15,4.5,61812.8,2
16,6.8,55607.82,4
17,11.0,81907.88,7
18,9.2,79312.63,6
19,6.5,72255.45,4
20,12.6,88208.26,9
21,3.7,46643.41,1
22,6.6,51936.65,4
23,8.0,58037.93,5
24,9.7,86625.26,6
25,15.9,123062.4,11
26,4.8,53279.9,2
27,10.8,94035.33,7
28,12.3,95116.36,8
29,1.9,33048.8,0
30,12.5,96113.96,9
31,4.2,66380.37,2
32,2.2,40641.74,0
33,19.0,140646.44,14
34,19.3,100302.55,14
35,16.4,120219.03,12
36,6.8,64870.47,4
37,2.9,41509.93,1
38,14.0,100917.61,10
39,9.4,57124.31,6
40,3.3,44303.28,1
41,10.4,85571.13,7
42,1.7,53278.94,0
43,18.3,116317.3,13
44,5.9,51415.06,3
45,13.6,92982.43,9
46,6.9,73654.02,4
47,10.9,87787.51,7
48,11.4,81702.4,8
49,4.5,57632.67,2
